name,index,XID
Дом В. И. Смирнова,0,W148138980
Дом В. И. Смирнова,1,W148138980
Дом В. И. Смирнова,2,W148138980
Дом В. И. Смирнова,3,W148138980
Дом В. И. Смирнова,4,W148138980
Дом В. И. Смирнова,5,W148138980
Дом В. И. Смирнова,6,W148138980
Дом В. И. Смирнова,7,W148138980
Дом В. И. Смирнова,8,W148138980
Дом В. И. Смирнова,9,W148138980
Дом В. И. Смирнова,10,W148138980
Дом В. И. Смирнова,11,W148138980
Дом В. И. Смирнова,12,W148138980
Дом В. И. Смирнова,13,W148138980
Дом В. И. Смирнова,14,W148138980
Дом В. И. Смирнова,15,W148138980
Дом В. И. Смирнова,16,W148138980
Дом В. И. Смирнова,17,W148138980
Дом В. И. Смирнова,18,W148138980
Дом В. И. Смирнова,19,W148138980
Дом В. И. Смирнова,20,W148138980
Дом В. И. Смирнова,21,W148138980
Дом В. И. Смирнова,22,W148138980
Дом В. И. Смирнова,23,W148138980
Дом В. И. Смирнова,24,W148138980
Дом В. И. Смирнова,25,W148138980
Дом В. И. Смирнова,26,W148138980
Дом В. И. Смирнова,27,W148138980
Дом В. И. Смирнова,28,W148138980
Памятник Ленину,29,W159088287
Памятник Ленину,30,W159088287
Памятник Ленину,31,W159088287
Памятник Ленину,32,W159088287
Памятник Ленину,33,W159088287
Памятник Ленину,34,W159088287
Памятник Ленину,35,W159088287
Памятник Ленину,36,W159088287
Памятник Ленину,37,W159088287
Памятник Ленину,38,W159088287
Памятник Ленину,39,W159088287
Памятник Ленину,40,W159088287
Памятник Ленину,41,W159088287
Памятник Ленину,42,W159088287
Памятник Ленину,43,W159088287
Памятник Ленину,44,W159088287
Памятник Ленину,45,W159088287
Памятник Ленину,46,W159088287
Памятник Ленину,47,W159088287
Памятник Ленину,48,W159088287
Памятник Ленину,49,W159088287
Памятник Ленину,50,W159088287
Памятник Ленину,51,W159088287
Памятник Ленину,52,W159088287
Памятник Ленину,53,W159088287
Памятник Ленину,54,W159088287
Памятник Ленину,55,W159088287
Памятник Ленину,56,W159088287
Памятник Ленину,57,W159088287
Северная башня,58,R2906507
Северная башня,59,R2906507
Северная башня,60,R2906507
Северная башня,61,R2906507
Северная башня,62,R2906507
Северная башня,63,R2906507
Северная башня,64,R2906507
Северная башня,65,R2906507
Северная башня,66,R2906507
Северная башня,67,R2906507
Северная башня,68,R2906507
Северная башня,69,R2906507
Северная башня,70,R2906507
Северная башня,71,R2906507
Северная башня,72,R2906507
Северная башня,73,R2906507
Северная башня,74,R2906507
Северная башня,75,R2906507
Северная башня,76,R2906507
Северная башня,77,R2906507
Северная башня,78,R2906507
Северная башня,79,R2906507
Северная башня,80,R2906507
Северная башня,81,R2906507
Северная башня,82,R2906507
Северная башня,83,R2906507
Северная башня,84,R2906507
Никольская башня,85,R2906504
Никольская башня,86,R2906504
Никольская башня,87,R2906504
Никольская башня,88,R2906504
Никольская башня,89,R2906504
Никольская башня,90,R2906504
Никольская башня,91,R2906504
Никольская башня,92,R2906504
Никольская башня,93,R2906504
Никольская башня,94,R2906504
Никольская башня,95,R2906504
Никольская башня,96,R2906504
Никольская башня,97,R2906504
Никольская башня,98,R2906504
