name,index,XID
Церковь Никиты Великомученика,0,W129207551
Церковь Никиты Великомученика,1,W129207551
Церковь Никиты Великомученика,2,W129207551
Церковь Никиты Великомученика,3,W129207551
Церковь Никиты Великомученика,4,W129207551
Церковь Никиты Великомученика,5,W129207551
Церковь Никиты Великомученика,6,W129207551
Церковь Никиты Великомученика,7,W129207551
Церковь Никиты Великомученика,8,W129207551
Церковь Никиты Великомученика,9,W129207551
Церковь Никиты Великомученика,10,W129207551
Церковь Никиты Великомученика,11,W129207551
Церковь Никиты Великомученика,12,W129207551
Церковь Никиты Великомученика,13,W129207551
Церковь Никиты Великомученика,14,W129207551
Церковь Никиты Великомученика,15,W129207551
Церковь Никиты Великомученика,16,W129207551
Церковь Никиты Великомученика,17,W129207551
Церковь Никиты Великомученика,18,W129207551
Церковь Никиты Великомученика,19,W129207551
Церковь Никиты Великомученика,20,W129207551
Церковь Никиты Великомученика,21,W129207551
Церковь Никиты Великомученика,22,W129207551
Церковь Никиты Великомученика,23,W129207551
Церковь Никиты Великомученика,24,W129207551
Церковь Никиты Великомученика,25,W129207551
Церковь Никиты Великомученика,26,W129207551
Церковь Никиты Великомученика,27,W129207551
Церковь Никиты Великомученика,28,W129207551
Церковь Никиты Великомученика,29,W129207551
Церковь Никиты Великомученика,30,W129207551
Церковь Никиты Великомученика,31,W129207551
Церковь Никиты Великомученика,32,W129207551
Церковь Никиты Великомученика,33,W129207551
Церковь Никиты Великомученика,34,W129207551
Церковь Никиты Великомученика,35,W129207551
Церковь Никиты Великомученика,36,W129207551
Церковь Никиты Великомученика,37,W129207551
Церковь Никиты Великомученика,38,W129207551
Церковь Никиты Великомученика,39,W129207551
Церковь Никиты Великомученика,40,W129207551
Церковь Никиты Великомученика,41,W129207551
Церковь Никиты Великомученика,42,W129207551
Церковь Никиты Великомученика,43,W129207551
Церковь Никиты Великомученика,44,W129207551
Церковь Никиты Великомученика,45,W129207551
Церковь Никиты Великомученика,46,W129207551
Церковь Никиты Великомученика,47,W129207551
Церковь Никиты Великомученика,48,W129207551
Церковь Никиты Великомученика,49,W129207551
Церковь Никиты Великомученика,50,W129207551
Церковь Никиты Великомученика,51,W129207551
Церковь Никиты Великомученика,52,W129207551
Церковь Никиты Великомученика,53,W129207551
Церковь Никиты Великомученика,54,W129207551
Церковь Никиты Великомученика,55,W129207551
Церковь Никиты Великомученика,56,W129207551
Авиамеханический колледж,57,R7140571
Авиамеханический колледж,58,R7140571
Авиамеханический колледж,59,R7140571
Авиамеханический колледж,60,R7140571
Авиамеханический колледж,61,R7140571
Авиамеханический колледж,62,R7140571
Авиамеханический колледж,63,R7140571
Авиамеханический колледж,64,R7140571
Авиамеханический колледж,65,R7140571
Авиамеханический колледж,66,R7140571
Авиамеханический колледж,67,R7140571
Авиамеханический колледж,68,R7140571
Авиамеханический колледж,69,R7140571
Авиамеханический колледж,70,R7140571
Авиамеханический колледж,71,R7140571
Авиамеханический колледж,72,R7140571
Авиамеханический колледж,73,R7140571
Авиамеханический колледж,74,R7140571
Авиамеханический колледж,75,R7140571
Авиамеханический колледж,76,R7140571
Авиамеханический колледж,77,R7140571
Авиамеханический колледж,78,R7140571
Авиамеханический колледж,79,R7140571
Авиамеханический колледж,80,R7140571
Авиамеханический колледж,81,R7140571
Авиамеханический колледж,82,R7140571
Авиамеханический колледж,83,R7140571
Авиамеханический колледж,84,R7140571
Авиамеханический колледж,85,R7140571
Авиамеханический колледж,86,R7140571
Собор Успения Пресвятой Богородицы,87,R5606302
Собор Успения Пресвятой Богородицы,88,R5606302
Собор Успения Пресвятой Богородицы,89,R5606302
Собор Успения Пресвятой Богородицы,90,R5606302
Собор Успения Пресвятой Богородицы,91,R5606302
Собор Успения Пресвятой Богородицы,92,R5606302
Собор Успения Пресвятой Богородицы,93,R5606302
Собор Успения Пресвятой Богородицы,94,R5606302
Собор Успения Пресвятой Богородицы,95,R5606302
Собор Успения Пресвятой Богородицы,96,R5606302
Собор Успения Пресвятой Богородицы,97,R5606302
Собор Успения Пресвятой Богородицы,98,R5606302
Собор Успения Пресвятой Богородицы,99,R5606302
Собор Успения Пресвятой Богородицы,100,R5606302
Собор Успения Пресвятой Богородицы,101,R5606302
Собор Успения Пресвятой Богородицы,102,R5606302
Собор Успения Пресвятой Богородицы,103,R5606302
Собор Успения Пресвятой Богородицы,104,R5606302
Собор Успения Пресвятой Богородицы,105,R5606302
Собор Успения Пресвятой Богородицы,106,R5606302
