,XID,Name,Kind,City,OSM,WikiData,Rate,Lon,Lat,NewWikiData,Description
0,W148138980,Дом В. И. Смирнова,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,way/148138980,Q97660371,3h,43.975361,56.314426,Q97660371,"Дом В. И. Смирнова — памятник архитектуры в историческом центре Нижнего Новгорода. Построен предположительно в конце 1890-х годов. Автор проекта не установлен. В архитектурном плане дом был выстроен в русском стиле, подражая деревянным постройкам И. Ропета, обильно украшен пропильной резьбой по тонким доскам. В 2017 году в ходе неудачной реставрации здание разрушилось. Существующее сегодня строение является репликой оригинального памятника."
1,W159088287,Памятник Ленину,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",Нижний Новгород,way/159088287,Q55655312,3h,43.959465,56.326092,Q55655312,"Па́мятник В. И. Ле́нину — памятник российскому и советскому политическому и государственному деятелю, революционеру, одному из организаторов и руководителей Октябрьской революции 1917 года Владимиру Ильичу Ленину, расположенный на названной в честь него площади Нижнего Новгорода. Является одной из достопримечательностей города."
2,R2906507,Северная башня,"towers,architecture,interesting_places,other_towers",Нижний Новгород,relation/2906507,Q51946123,3h,43.998028,56.328777,Q51946123,"Северная башня — круглая башня Нижегородского кремля. Расположена в нагорной части между Тайницкой и Часовой башнями. Вопреки названию, башня не является самым северным сооружением в Кремле, но крепостная стена, протянувшаяся от Тайницкой башни в сторону Северной, совпадает с направлением на север."
3,R2906504,Никольская башня,"towers,architecture,fortifications,historic,interesting_places,other_towers,fortified_towers",Нижний Новгород,relation/2906504,Q51885222,3h,44.001396,56.325672,Q51885222,"Никольская башня — проездная башня Нижегородского кремля. Расположена в нагорной части между Кладовой и Коромысловой башнями. К башне вплотную примыкает пешеходный мост, возведённый над Зеленским съездом в 1982 году на месте старинного деревянного моста, рубленного «на клетках»."
4,W152110796,Дом архитектора,"cultural,museums,interesting_places,other_museums",Нижний Новгород,way/152110796,Q98381215,3h,44.009949,56.329483,Q98381215,"Жилой дом горьковского архитектора А. А. Яковлева — памятник градостроительства и архитектуры регионального значения в историческом центре Нижнего Новгорода. Построен в 1936—1938 годах, по проекту, выполненному в Горпроекте, в мастерской известного горьковского архитектора А. А. Яковлева (1879—1951). Жилой дом расположен в месте пересечения улицы Минина и площади Минина и Пожарского и входит в сплошной фронт застройки площади, сформированный напротив кремля. Здание немного заглублено от красной линии площади и на образовавшейся площадке разбит сквер с бюстом Кузьмы Минина.   Дом считается одним из лучших образцов советской архитектуры периода освоения классического наследия довоенного времени в Нижнем Новгороде. Имеет большую историко-архитектурную ценность, являясь составной частью центрального архитектурного ансамбля площади Минина и Пожарского, сложившегося в течение XIX — XX веков."
5,R4238217,Нижегородский государственный академический театр драмы им. М. Горького,"cultural,theatres_and_entertainments,interesting_places,music_venues",Нижний Новгород,relation/4238217,Q166474,3h,44.001335,56.324169,Q166474,"Нижегородский государственный ордена Трудового Красного Знамени академический театр драмы имени М. Горького — один из старейших русских театров. История создания театра восходит к 1798 году, когда князь Н. Г. Шаховской открыл в Нижнем Новгороде публичный театр."
6,N6629818520,Нижегородский кремль,"fortifications,historic,historical_places,cultural,museums,interesting_places,historic_districts,history_museums,kremlins",Нижний Новгород,node/6629818520,Q1550905,3h,44.002522,56.328667,Q1550905,"Нижегоро́дский кремль — крепость в историческом центре Нижнего Новгорода и его древнейшая часть, главный общественно-политический и историко-художественный комплекс города. Официальная резиденция полномочного представителя президента России в Приволжском федеральном округе, губернатора Нижегородской области и мэра Нижнего Новгорода.Расположен на правом высоком берегу, в месте слияния рек Волги и Оки. Северо-западная часть Кремля спускается почти к подножию склонов, юго-восточная часть выходит на площадь Минина и Пожарского, а юго-западная — возвышается над глубоким Почаинским оврагом, Зеленским съездом и площадью Народного Единства."
7,R13028362,Нижегородская соборная мечеть,"religion,mosques,interesting_places",Нижний Новгород,relation/13028362,Q4318635,3h,44.037556,56.323444,Q4318635,"Нижегоро́дская собо́рная мече́ть (тат. Түбән Новгород җәмигъ мәчете) — главный мусульманский храм Нижнего Новгорода, открытый в 1915 году и расположенный на Казанской набережной, рядом с Сенной площадью и одноимённой автостанцией. Мечеть принадлежит татарской общине города."
8,R2906502,Нижегородский кремль,"fortifications,historic,historical_places,cultural,museums,interesting_places,historic_districts,other_museums,kremlins",Нижний Новгород,relation/2906502,Q1550905,3h,44.002106,56.328033,Q1550905,"Нижегоро́дский кремль — крепость в историческом центре Нижнего Новгорода и его древнейшая часть, главный общественно-политический и историко-художественный комплекс города. Официальная резиденция полномочного представителя президента России в Приволжском федеральном округе, губернатора Нижегородской области и мэра Нижнего Новгорода.Расположен на правом высоком берегу, в месте слияния рек Волги и Оки. Северо-западная часть Кремля спускается почти к подножию склонов, юго-восточная часть выходит на площадь Минина и Пожарского, а юго-западная — возвышается над глубоким Почаинским оврагом, Зеленским съездом и площадью Народного Единства."
9,W147129127,Домик Каширина,"cultural,museums,interesting_places,other_museums",Нижний Новгород,way/147129127,Q4165827,3h,43.990692,56.323921,Q4165827,"Домик Каширина — музей, расположенный в Нижнем Новгороде, Почтовый съезд, д. 21, в доме деда М. Горького (А. М. Пешкова) по материнской линии. Объект культурного наследия народов РФ федерального значения. Описан в повести «Детство». Одноэтажный, на полуподвале деревянный дом, в пяти комнатах которого проживала семья из шестнадцати человек. Интерьеры восстановлены.Главный дом бывшей усадьбы Кашириных — одно из старейших гражданских зданий Нижнего Новгорода, построенное в конце XVIII века. На территории музея также расположены воссозданные хозяйственные постройки — каретник, амбар, красильня. Двор замощён булыжником."
